,매장명,주소,구,lat,lng
134,신림중앙점,서울 관악구 관천로 52 (신림동),관악구,37.48434719999999,126.9266367
135,신림패션문화점,서울 관악구 봉천로6길 24 (신림동),관악구,37.4886299,126.9254308
136,인헌점,서울 관악구 인헌길 17 (봉천동),관악구,37.4747245,126.9670541
137,청룡중앙점,"서울 관악구 쑥고개로 80 (봉천동, 제이빌딩)",관악구,37.4791765,126.9452607
138,건대로데오점,서울 광진구 아차산로30길 8 (자양동),광진구,37.5404164,127.0676076
139,건대스타시티2호점,"서울 광진구 능동로 92 (자양동, 스타시티몰) 지하 2층 201호",광진구,37.538557,127.0729616
140,건대스타시티점,"서울 광진구 아차산로 272 (자양동, 더샵스타시티)",광진구,37.5378028,127.0726322
141,건대역점,"서울 광진구 아차산로 229 (화양동, 한림타워)",광진구,37.5407319,127.069008
142,건대후문점,"서울 광진구 광나루로 416 (화양동, 건회빌딩)",광진구,37.54649510000001,127.0755874
143,광나루점,서울 광진구 아차산로 624 (광장동),광진구,37.5482033,127.107566
144,구의사거리점,서울 광진구 광나루로 508 (구의동),광진구,37.5447378,127.0859307
145,구의역점,서울 광진구 구의로 4 (구의동),광진구,37.5382091,127.0892948
146,구의자양로점,서울 광진구 자양로 251 (구의동),광진구,37.5490121,127.0892921
147,군자역점,"서울 광진구 능동로 290 (능동, 삼일빌딩)",광진구,37.5555903,127.0790595
148,동서울터미널점,서울 광진구 구의동,광진구,37.5444007,127.092844
149,뚝섬유원지역점,서울 광진구 능동로 21 (자양동),광진구,37.5335019,127.0672835
150,세종대후문점,서울 광진구 군자로 109 (군자동),광진구,37.5528718,127.0719913
151,아차산역점,서울 광진구 천호대로 663 (구의동),광진구,37.5517919,127.0902248
152,자양동점,서울 광진구 자양로 46 (자양동),광진구,37.5322381,127.0859794
153,자양우성점,"서울 광진구 자양번영로 34 (자양동, 제이원하이텔)",광진구,37.5327013,127.0758253
154,중곡대원점,서울 광진구 용마산로 111 (중곡동),광진구,37.5635935,127.0866729
155,중곡신성점,"서울 광진구 용마산로 37 (중곡동, 이안빌딩)",광진구,37.598033,127.0940962
156,중곡중앙점,서울 광진구 능동로 330 (중곡동),광진구,37.56354400000001,127.0888304
157,개봉역점,서울 구로구 남부순환로97길 11 (개봉동),구로구,37.5030022,126.8464851
158,개봉중앙점,서울 구로구 개봉로3길 26 (개봉동),구로구,37.4864752,126.8548882
159,개봉현대점,서울 구로구 개봉로 69 (개봉동),구로구,37.4918986,126.8556595
160,고척사거리점,"서울 구로구 고척로 228-6 (고척동, 종만빌딩)",구로구,37.5057472,126.8582376
161,고척스카이돔점,"서울 구로구 경인로 397 (고척동, 골든타워빌딩)",구로구,37.5031884,126.858851
162,구로NC점,서울 구로구 구로동로 240 (구로동),구로구,37.5000236,126.8826805
163,구로거리공원점,서울 구로구 구로중앙로28길 73 (구로동),구로구,37.5007591,126.8894018
164,구로구청점,"서울 구로구 가마산로25길 9 (구로동, 네오팰리스)",구로구,37.49658830000001,126.8903054
165,구로궁동점,서울 구로구 오리로 1304 (궁동) 1층,구로구,37.4977773,126.8294119
166,구로미성점,"서울 구로구 구로중앙로 228 (신도림동, 기임빌딩)",구로구,37.5060959,126.87662
167,구로에이스점,서울 구로구 디지털로33길 11 (구로동),구로구,37.4857156,126.8955092
168,구로역광장점,"서울 구로구 경인로 572 (구로동, 스타팰리스)",구로구,37.48926470000001,126.8767871
169,구로이마트점,서울 구로구 디지털로32길 43 (구로동),구로구,37.4843485,126.897922
170,구로중앙점,서울 구로구 도림로 79 (구로동),구로구,37.4900857,126.8920284
171,구로코레일점,"서울 구로구 구로중앙로 174 (구로동, 구로역)",구로구,37.5025798,126.8821545
172,구일역점,"서울 구로구 구일로 110 (구로동, 해원리버파크)",구로구,37.4950571,126.8720069
173,남구로역점,서울 구로구 디지털로27길 127 (가리봉동),구로구,37.4846706,126.887119
174,성공회대점,서울 구로구 연동로 312 (항동),구로구,37.4872973,126.8242329
175,신도림메르디앙점,"서울 구로구 신도림로 65 (신도림동, 신도림월드메르디앙오피스텔)",구로구,37.5095401,126.8820361
176,신도림테크노마트점,서울 구로구 새말로 97 (구로동),구로구,37.5069735,126.8903193
177,오류남부점,서울 구로구 오류로8길 65 (오류동),구로구,37.4926959,126.8437439
178,오류북부역점,서울 구로구 경인로20길 6 (오류동),구로구,37.4966404,126.8385246
179,천왕이펜하우스점,서울 구로구 천왕로 36 (천왕동),구로구,37.4810083,126.8392702
180,가산두산위브점,서울 금천구 가산로 111 (가산동),금천구,37.4756055,126.8929049
181,가산리더스타워점,서울 금천구 벚꽃로 286 (가산동),금천구,37.480368,126.8841765
182,가산벽산점,서울 금천구 벚꽃로 244 (가산동),금천구,37.4766901,126.8858078
183,가산에이스점,서울 금천구 가산디지털1로 196 (가산동),금천구,37.4829123,126.8811424
184,가산오거리점,"서울 금천구 가산로 155 (가산동, 케이디에스빌딩)",금천구,37.4788324,126.8900552
185,가산월드점,서울 금천구 가산디지털2로 123 (가산동),금천구,37.4787568,126.8787171
186,가산하이엔드10차점,"서울 금천구 가산디지털1로 30 (가산동, 에이스하이엔드타워10)",금천구,37.4688003,126.8874748
187,금천롯데마트점,"서울 금천구 시흥대로 291 (독산동, 금천롯데캐슬골드파크3차)",금천구,37.4604657,126.8974181
188,독산동쌈지공원점,서울 금천구 독산로 276 (독산동),금천구,37.4713542,126.9032872
189,독산동점,"서울 금천구 독산로 218 (독산동, 창영빌딩)",금천구,37.4663108,126.9019986
190,독산롯데시네마점,서울 금천구 시흥대로 399 (독산동),금천구,37.469407,126.8974528
191,박미삼거리점,서울 금천구 시흥대로 150 (시흥동),금천구,37.4476277,126.9036599
192,석수푸르지오점,"서울 금천구 삼성산길 11 (시흥동, 위너스타워)",금천구,37.4340959,126.9048311
193,세광교회점,서울 금천구 독산로 124 (시흥동),금천구,37.4583516,126.9055616
194,시흥동점,서울 금천구 시흥동,금천구,37.4495276,126.9092894
195,시흥사거리점,서울 금천구 시흥대로63길 8 (시흥동),금천구,37.4550726,126.8991028
196,시흥유통센터점,"서울 금천구 시흥대로 88 (시흥동, 오복빌딩)",금천구,37.4418838,126.9039107
197,시흥중앙점,서울 금천구 금하로 748 (시흥동),금천구,37.4498887,126.91253
198,은행나무사거리점,서울 금천구 금하로 690 (시흥동),금천구,37.4517877,126.9065756
199,공릉역점,서울 노원구 동일로192길 5 (공릉동),노원구,37.6205232,127.102594
200,광운대점,서울 노원구 광운로 29 (월계동),노원구,37.6203303,127.0584239
201,노원사거리점,서울 노원구 동일로 1393 (상계동),노원구,37.6529411,127.0605151
202,노원중앙점,서울 노원구 노원로 452 (상계동),노원구,37.65686480000001,127.0671073
203,당고개역점,서울 노원구 상계로 313 (상계동),노원구,37.6708411,127.0803776
204,상계동점,서울 노원구 한글비석로52길 8 (상계동),노원구,37.6648833,127.06646
205,상계역사거리점,서울 노원구 한글비석로 409 (상계동) 1~2층,노원구,37.6611267,127.070846
206,상계역점,서울 노원구 덕릉로 698 (중계동),노원구,37.6510125,127.0799977
207,상계중앙점,서울 노원구 동일로 1650 (상계동),노원구,37.6754705,127.0555978
208,서울여대점,서울 노원구 노원로 3 (공릉동),노원구,37.6219864,127.0866205
