name,address,gu,brand,gas_price,dsel_price,SELF,CWSH,LPG,MAINT,CVS,SEL24,lat,lng
한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),도봉구,S-OIL,1499,1424,Y,Y,N,Y,N,Y,37.6533557,127.0271003
(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),도봉구,S-OIL,1509,1434,Y,Y,N,Y,N,N,37.66686869999999,127.0435303
극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),도봉구,S-OIL,1519,1449,Y,Y,N,Y,N,N,37.6615155,127.0475247
동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),도봉구,SK에너지,1535,1455,Y,Y,N,Y,N,N,37.6446074,127.0327486
오복주유소,서울 도봉구 방학로 43,도봉구,S-OIL,1545,1503,Y,Y,N,N,N,Y,37.662341,127.0474542
노원교주유소,서울 도봉구 마들로 776 (도봉동),도봉구,HD현대오일뱅크,1545,1473,Y,Y,N,N,N,N,37.678983,127.0497224
대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),도봉구,GS칼텍스,1555,1475,Y,Y,N,N,N,Y,37.6413354,127.040236
HD현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,도봉구,HD현대오일뱅크,1657,1577,N,Y,N,N,N,N,37.6623796,127.0354481
풍한주유소,서울 동대문구 안암로 168,동대문구,SK에너지,1505,1425,N,Y,N,N,N,Y,37.5892531,127.0360122
동서울고속주유소,서울 동대문구 한천로 414,동대문구,SK에너지,1507,1417,Y,N,N,N,N,Y,37.5975419,127.0680331
재정주유소,서울 동대문구 전농로 121 (전농동),동대문구,HD현대오일뱅크,1519,1435,Y,Y,N,N,N,N,37.5757038,127.0574394
재정제2주유소,서울 동대문구 사가정로 90 (전농동),동대문구,HD현대오일뱅크,1519,1435,Y,Y,N,N,N,N,37.5758698,127.0556493
(주)경동주유소,서울 동대문구 이문로 191 (이문동),동대문구,S-OIL,1535,1455,Y,Y,N,N,N,N,37.603596,127.0617855
대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),동대문구,GS칼텍스,1545,1465,Y,Y,Y,N,N,Y,37.5814177,127.0450724
대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),동대문구,GS칼텍스,1545,1465,Y,Y,N,Y,N,Y,37.5756916,127.0377503
홍능주유소,서울 동대문구 홍릉로 87 (청량리동),동대문구,S-OIL,1557,1497,N,Y,N,N,N,N,37.587938,127.0426612
(주)파랑에너지,서울 동대문구 망우로 126,동대문구,GS칼텍스,1559,1475,Y,Y,N,N,Y,N,37.5912312,127.067054
삼영주유소,서울 동대문구 답십리로 258 (장안동),동대문구,SK에너지,1567,1477,N,Y,N,N,N,N,37.5723064,127.0688224
(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),동대문구,SK에너지,1578,1498,Y,Y,N,N,N,N,37.5901827,127.0632663
HD현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),동대문구,HD현대오일뱅크,1589,1509,N,Y,N,N,N,Y,37.5632059,127.0696316
삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),동대문구,SK에너지,1637,1557,Y,Y,N,N,N,N,37.5790352,127.0696452
배봉로주유소,서울 동대문구 서울시립대로 108,동대문구,HD현대오일뱅크,1655,1560,Y,Y,N,N,N,N,37.5800151,127.0510496
창원이엔지주유소,서울 동작구 사당로 59 (상도동),동작구,HD현대오일뱅크,1565,1465,Y,Y,N,N,N,N,37.4948674,126.9613387
HD현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),동작구,HD현대오일뱅크,1579,1484,Y,Y,N,Y,N,Y,37.48712039999999,126.9056444
HD현대오일뱅크㈜직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),동작구,HD현대오일뱅크,1594,1549,Y,Y,N,N,N,Y,37.4831082,126.9815397
매일주유소,서울 동작구 상도로 139 (상도동),동작구,S-OIL,1599,1579,Y,Y,N,N,N,N,37.5027348,126.9350838
지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로 135 (사당동),동작구,GS칼텍스,1599,1559,Y,N,N,N,N,Y,37.4886815,126.9819661
HD현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),동작구,HD현대오일뱅크,1599,1559,Y,Y,N,N,N,Y,37.5080132,126.9652693
