,상호,주소,가격,셀프,상표,구
212,성원이앤에스(주)영등포지점,서울 영등포구 국회대로52길 9-13 (영등포동7가),1985.0,N,GS칼텍스,영등포구
213,버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),1995.0,N,SK에너지,영등포구
214,SK KH에너지 여의도주유소,서울 영등포구 국회대로 794 (여의도동),2195.0,N,SK에너지,영등포구
215,SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,2295.0,N,GS칼텍스,영등포구
216,북서울고속주유소,서울 강북구 삼양로 410 (수유동),1499.0,Y,SK에너지,강북구
217,수유동주유소,서울 강북구 도봉로 395 (수유동),1499.0,Y,GS칼텍스,강북구
218,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),1499.0,Y,HD현대오일뱅크,강북구
219,(주)석산에너지,서울 강북구 삼양로 316 (수유동),1499.0,Y,HD현대오일뱅크,강북구
220,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),1515.0,Y,SK에너지,강북구
221,대성석유(주)신광주유소,서울 강북구 삼양로 484,1539.0,N,GS칼텍스,강북구
222,씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),1545.0,Y,S-OIL,강북구
223,덕릉로주유소,서울 강북구 덕릉로 158 (번동),1545.0,Y,S-OIL,강북구
224,에덴주유소,서울 강북구 월계로 195 (번동),1545.0,Y,SK에너지,강북구
225,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),1555.0,Y,GS칼텍스,강북구
226,세원주유소,서울 강북구 한천로 918 (번동),1568.0,Y,SK에너지,강북구
227,HD현대오일뱅크㈜직영 번동셀프주유소,서울 강북구 한천로 963 (번동),1577.0,Y,HD현대오일뱅크,강북구
228,HD현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),1799.0,N,HD현대오일뱅크,용산구
229,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),2020.0,N,GS칼텍스,용산구
230,(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),2032.0,N,SK에너지,용산구
231,동자동주유소,서울 용산구 한강대로104길 6 (동자동),2050.0,N,SK에너지,용산구
232,HD현대오일뱅크㈜직영 갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),2050.0,N,HD현대오일뱅크,용산구
233,HD현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),2054.0,N,HD현대오일뱅크,용산구
234,HD현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),2054.0,N,HD현대오일뱅크,용산구
235,(주)남경주유소,서울 용산구 녹사평대로11길 24,2064.0,N,SK에너지,용산구
236,한석주유소,서울 용산구 이촌로 164,2217.0,N,SK에너지,용산구
237,에너비스,서울 용산구 한남대로 82 (한남동),2267.0,N,SK에너지,용산구
238,한남지점,서울 용산구 한남대로21길 4 (한남동),2267.0,N,SK에너지,용산구
239,서계주유소,서울 용산구  청파로 367 (청파동),2609.0,N,GS칼텍스,용산구
240,타이거주유소,서울 은평구 수색로 188 (증산동),1484.0,Y,SK에너지,은평구
241,(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),1485.0,Y,HD현대오일뱅크,은평구
242,지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),1495.0,Y,GS칼텍스,은평구
243,(주)디오티디 은평유니콘주유소,서울 은평구 통일로 1151 (진관동),1504.0,N,HD현대오일뱅크,은평구
244,불광주유소,서울 은평구 연서로 314 (불광동),1538.0,Y,HD현대오일뱅크,은평구
245,지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),1544.0,Y,GS칼텍스,은평구
246,지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),1544.0,Y,GS칼텍스,은평구
247,㈜오일닷컴 다회주유소,서울 은평구 증산로 441,1544.0,Y,S-OIL,은평구
248,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),1557.0,Y,SK에너지,은평구
249,박석고개주유소,서울 은평구 통일로 945 (갈현동),1557.0,Y,SK에너지,은평구
250,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),1557.0,Y,GS칼텍스,은평구
251,응암주유소,서울 은평구 응암로 163,1564.0,Y,HD현대오일뱅크,은평구
252,대성산업㈜ 대성주유소,서울 은평구 통일로 642,1568.0,Y,GS칼텍스,은평구
253,뉴타운셀프주유소,서울 은평구 통일로 1031,1595.0,Y,S-OIL,은평구
254,코끼리주유소,서울 은평구 서오릉로 41 (녹번동),1653.0,N,자가상표,은평구
255,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),1554.0,Y,HD현대오일뱅크,종로구
256,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),1694.0,Y,HD현대오일뱅크,종로구
257,자하문주유소,서울 종로구 자하문로 248 (부암동),1699.0,Y,SK에너지,종로구
258,안풍주유소,서울 종로구 자하문로 303,1699.0,N,S-OIL,종로구
259,구도일주유소특종,서울 종로구 평창문화로 90 (평창동),1730.0,N,S-OIL,종로구
260,SK북악주유소,서울 종로구 평창문화로 137,2198.0,N,SK에너지,종로구
261,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,2267.0,N,SK에너지,종로구
262,경복궁주유소,서울 종로구 율곡로 6 (중학동),2280.0,N,GS칼텍스,종로구
263,(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65 (사직동),2290.0,N,GS칼텍스,종로구
264,다산주유소,서울 중구 다산로 233,1564.0,Y,S-OIL,중구
265,약수주유소,서울 중구 다산로 173,1579.0,Y,SK에너지,중구
266,세화주유소,서울 중구 왕십리로 403,1648.0,N,알뜰주유소,중구
267,장충드림주유소,서울 중구 동호로 296,1695.0,Y,S-OIL,중구
268,HD현대오일뱅크㈜직영 장원주유소,서울 중구 동호로 203 (신당동),1768.0,N,HD현대오일뱅크,중구
269,SK에너지(주) 퇴계로주유소,서울 중구 퇴계로 228 (필동2가),1914.0,N,SK에너지,중구
270,장충주유소,서울 중구 장충단로 202 (장충동1가),1968.0,N,SK에너지,중구
271,신당동주유소,서울 중구 다산로 242 (신당동),1998.0,N,SK에너지,중구
272,필동주유소,서울 중구 퇴계로 196 (필동2가),2399.0,N,GS칼텍스,중구
